,Stock,Average_Percentage_Increase,Price_Std_dev,Cluster
0,ACB,12.012754398706363,7461.349728031134,0
1,BCM,24.3222366995528,23118.556052675038,4
2,BID,20.79664749456404,12476.797968568331,4
3,BVH,4.833024162602642,16520.008098751285,5
4,CTG,10.918428065749213,8365.736956797611,0
5,FPT,15.878089268403905,28260.60981108763,1
6,GAS,5.862115555652223,21469.13840782868,5
7,GVR,32.00618356895756,8971.362189674654,4
8,HDB,12.467036846007437,4558.815141316841,0
9,HPG,25.254771110294165,10530.25145675133,4
10,MBB,21.76010037910104,7080.187149196728,4
11,MSN,5.048337962706867,23178.6179596752,5
12,MWG,23.4997994878089,18163.692978354746,4
13,PLX,-6.823387134845221,12676.799853843406,3
14,POW,-2.1394430007001346,2161.5090979018764,3
15,SAB,-9.959422531025709,56832.35670014893,2
16,SHB,11.593055126127355,4666.601267313461,0
17,SSB,-3.5288639778805098,3996.5832339105777,3
18,SSI,16.359862320509833,8977.279955170068,0
19,STB,10.917464773262289,7172.384436146967,0
20,TCB,15.281379653794852,10410.227311154786,0
21,TPB,10.812198085552376,6596.986495818768,0
22,VCB,15.03438578235706,28932.13454109847,1
23,VHM,-4.623192473449227,11684.723784030366,3
24,VIB,24.0921098971265,7937.6970346333555,4
25,VIC,8.420389367559126,29824.442927908138,1
26,VJC,6.754839137072426,21511.479999746996,5
27,VNM,-2.151906544710904,22855.41731517268,5
28,VPB,21.01443342426423,6346.257702645627,4
29,VRE,-6.078506765072167,4748.405721082359,3
